hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
251697,2,1,4,53,9,3,5,1
251742,1,1,1,63,9,12,5,1
251742,2,1,2,63,9,12,5,1
251795,1,2,2,21,8,14,2,1
251795,2,2,2,19,10,14,3,1
251907,1,1,2,53,9,8,6,1
251907,2,1,2,43,12,8,1,1
251917,1,1,2,45,9,13,2,1
251917,2,1,1,41,10,13,1,1
252305,1,1,1,39,12,15,1,1
252305,2,1,1,38,13,15,1,1
252419,1,1,1,49,12,13,1,1
252419,2,1,1,50,12,13,7,1
252958,1,1,1,37,13,14,1,1
252958,2,1,1,33,13,14,1,1
253670,1,1,1,52,10,13,2,1
253670,2,1,2,52,10,13,1,1
253768,1,1,1,47,12,13,1,0
253768,2,1,1,51,10,13,2,0
253897,1,1,3,57,9,7,6,1
253897,2,1,5,48,6,7,4,1
254533,1,1,1,61,9,13,1,1
254533,2,1,1,55,9,13,7,1
254632,1,1,2,59,11,18,1,1
254632,2,1,2,60,11,18,1,1
254669,1,1,1,48,12,16,4,1
254669,2,1,1,42,12,16,1,1
254768,1,1,1,42,9,13,1,1
254768,2,1,1,40,14,13,1,1
254817,1,2,2,55,10,13,4,1
254817,2,2,2,54,10,13,4,1
255022,1,1,1,53,13,14,1,1
255022,2,1,1,52,10,14,1,1
255084,1,1,2,32,12,15,1,1
255084,2,1,1,31,12,15,7,1
255335,1,1,2,61,10,13,5,0
255335,2,1,1,60,10,13,5,0
255773,1,1,1,59,12,13,1,1
255773,2,1,1,57,12,13,2,1
256486,1,1,2,62,13,15,5,1
256486,2,1,1,57,11,15,1,1
257039,1,1,1,35,9,12,1,1
257039,2,1,1,44,9,12,1,1
257223,1,1,2,39,14,17,1,1
257223,2,1,1,34,13,17,1,1
257377,1,1,1,54,9,16,1,1
257377,2,1,1,52,12,16,1,1
257920,1,1,1,58,9,19,1,1
257920,2,1,1,55,11,19,1,1
258517,1,1,1,41,10,11,1,1
258517,2,1,1,35,10,11,1,1
260913,1,1,1,62,11,13,5,1
260913,2,1,1,62,9,13,1,1
260950,1,1,1,53,9,14,1,1
260950,2,1,1,52,12,14,1,1
261544,1,1,1,51,10,14,6,1
261544,2,1,1,45,9,14,1,1
261784,1,1,1,55,11,12,1,1
261784,2,1,1,48,10,12,7,1
262129,1,1,1,34,11,13,1,1
262129,2,1,1,31,10,13,1,1
262157,1,1,1,53,9,13,2,1
262157,2,1,2,54,10,13,7,1
262555,1,1,2,36,12,16,1,1
262555,2,1,1,31,12,16,1,1
263382,1,1,1,57,9,11,1,0
263382,2,1,1,62,12,11,5,0
263484,1,1,1,43,13,16,1,1
263484,2,1,1,39,12,16,1,1
263564,1,1,1,51,10,16,1,1
263564,2,1,1,49,10,16,4,1
263946,1,2,1,62,10,14,7,1
263946,2,2,1,62,12,14,5,1
264209,1,1,1,55,9,16,1,1
264209,2,1,1,54,10,16,1,1
264939,1,2,1,51,10,18,2,1
264939,2,2,1,47,10,18,2,1
265887,1,1,1,32,12,10,1,1
265887,2,1,1,31,10,10,1,1
266139,1,1,1,51,9,15,1,1
266139,2,1,1,60,10,15,1,1
266297,1,1,2,37,9,14,1,1
266297,2,1,1,38,10,14,1,1
266731,1,1,1,51,8,17,1,1
266731,2,1,4,44,9,17,1,1
267089,1,1,2,52,12,14,2,1
267089,2,1,1,52,10,14,1,1
267212,1,1,1,54,10,5,2,0
267212,2,1,1,52,10,5,2,0
267351,1,1,1,53,8,10,1,1
267351,2,1,1,59,9,10,6,1
268050,1,1,1,52,9,15,1,1
268050,2,1,1,44,9,15,1,1
268648,1,1,1,38,10,13,2,1
268648,2,1,1,38,12,13,1,1
268721,1,1,2,55,5,6,4,1
268721,2,1,2,51,11,6,6,1
268801,1,1,1,28,11,14,1,1
268801,2,1,1,27,12,14,1,1
268857,1,1,1,53,9,15,1,1
268857,2,1,1,58,10,15,1,1
269114,1,2,1,63,14,19,1,1
269114,2,2,2,54,10,19,1,1
269115,1,2,1,43,7,14,1,1
269115,2,2,3,45,10,14,1,1
270008,1,1,1,37,12,18,1,1
270008,2,1,2,38,13,18,1,1
270190,1,1,1,35,12,13,1,1
270190,2,1,1,34,12,13,3,1
270287,1,1,1,39,9,11,2,1
270287,2,1,1,39,5,11,4,1
270513,1,2,2,50,12,16,1,1
270513,2,2,2,50,12,16,1,1
270887,1,1,1,59,9,16,5,1
270887,2,1,1,53,12,16,1,1
271080,1,1,1,36,9,13,2,1
271080,2,1,4,36,9,13,1,1
271092,1,1,1,53,10,15,1,1
271092,2,1,1,49,10,15,1,1
271267,1,1,1,35,12,13,1,1
271267,2,1,1,33,12,13,7,1
271573,1,1,1,45,9,15,3,1
271573,2,1,1,46,11,15,1,1
271631,1,1,2,53,12,13,2,1
271631,2,1,2,49,14,13,1,1
272271,1,1,1,45,13,15,2,1
272271,2,1,1,46,13,15,2,1
272387,1,1,2,47,12,19,1,1
272387,2,1,2,44,12,19,1,1
272983,1,2,1,60,12,16,5,1
272983,2,2,1,56,10,16,1,1
273108,1,1,1,42,13,9,1,1
273108,2,1,1,39,13,9,2,1
273526,1,1,1,52,13,13,1,1
273526,2,1,1,52,10,13,1,1
273986,1,1,1,53,11,15,1,1
273986,2,1,1,62,10,15,5,1
274126,1,1,2,45,12,17,1,1
274126,2,1,2,44,12,17,1,1
274348,1,2,2,31,9,10,1,1
274348,2,2,4,34,8,10,2,1
274371,1,1,1,57,12,13,1,1
274371,2,1,1,54,10,13,1,1
274736,1,1,1,31,12,14,1,1
274736,2,1,1,32,10,14,7,1
275546,1,1,1,52,9,17,3,1
275546,2,1,2,43,14,17,1,1
275550,1,1,1,60,12,17,1,1
275550,2,1,1,60,10,17,1,1
275736,1,2,1,27,9,13,1,1
275736,2,2,1,24,12,13,4,1
275780,1,1,1,50,10,13,1,1
275780,2,1,1,48,8,13,1,1
275783,1,1,1,27,10,10,1,1
275783,2,1,2,36,11,10,1,1
276399,1,1,1,41,13,19,1,1
276399,2,1,1,35,12,19,1,1
276633,1,1,2,55,10,16,1,1
276633,2,1,1,57,10,16,4,1
277033,1,1,1,63,9,17,1,1
277033,2,1,2,61,13,17,1,1
277382,1,1,1,44,9,12,2,1
277382,2,1,1,44,9,12,7,1
277510,1,1,1,61,13,16,6,1
277510,2,1,1,59,13,16,5,1
